"","type","country","category","a","sigma","value","date"
"1","NEWS","Bahrain","Adaptation",0.819221653610447,0.148119690699245,-0.175895526079203,2011-02-01
"2","NEWS","Egypt","Adaptation",0.819221653610447,0.099210241600816,0.14142360361187,2011-02-01
"3","NEWS","Iran","Adaptation",0.819221653610447,0.120883790956405,-0.124749565499867,2011-02-01
"4","NEWS","Iraq","Adaptation",0.819221653610447,0.0632919318424318,-0.0517158628326453,2011-02-01
"5","NEWS","Jordan","Adaptation",0.819221653610447,0.0548420144335052,0.153819900794376,2011-02-01
"6","NEWS","Kuwait","Adaptation",0.819221653610447,0.191406878227871,0.177053936114393,2011-02-01
"7","NEWS","Lebanon","Adaptation",0.819221653610447,0.135695064042088,-0.0670347234095754,2011-02-01
"8","NEWS","Libya","Adaptation",0.819221653610447,0.194526149587888,-0.501653370536222,2011-02-01
"9","NEWS","Saudi Arabia","Adaptation",0.819221653610447,0.126525114671996,0.17459191479319,2011-02-01
"10","NEWS","Syria","Adaptation",0.819221653610447,0.143787430467581,0.0272789124434636,2011-02-01
"11","NEWS","Tunisia","Adaptation",0.819221653610447,0.185116936638063,0.171804300744386,2011-02-01
"12","NEWS","UAE","Adaptation",0.819221653610447,0.168715114535695,0.244730159302543,2011-02-01
"13","NEWS","Yemen","Adaptation",0.819221653610447,0.162012268610259,-0.256706713343483,2011-02-01
"14","NEWS","Bahrain","Nationalities",0.92975535757983,0.397580829410111,-0.879491007214206,2011-02-01
"15","NEWS","Egypt","Nationalities",0.92975535757983,0.126045758143113,0.0703503352426334,2011-02-01
"16","NEWS","Iran","Nationalities",0.92975535757983,0.110203454249348,0.447528669065081,2011-02-01
"17","NEWS","Iraq","Nationalities",0.92975535757983,0.118254755905929,-0.374305525303244,2011-02-01
"18","NEWS","Jordan","Nationalities",0.92975535757983,0.176586451083123,0.1913434129028,2011-02-01
"19","NEWS","Kuwait","Nationalities",0.92975535757983,0.242565007947943,0.0611084040232676,2011-02-01
"20","NEWS","Lebanon","Nationalities",0.92975535757983,0.196591907290449,0.128463337448914,2011-02-01
"21","NEWS","Libya","Nationalities",0.92975535757983,0.120967458504383,0.535949065766371,2011-02-01
"22","NEWS","Saudi Arabia","Nationalities",0.92975535757983,0.139445048865699,-0.281236689219031,2011-02-01
"23","NEWS","Syria","Nationalities",0.92975535757983,0.14407543742582,0.636522817084216,2011-02-01
"24","NEWS","Tunisia","Nationalities",0.92975535757983,0.137441224565181,-0.00306349255939036,2011-02-01
"25","NEWS","UAE","Nationalities",0.92975535757983,0.257901655640533,-1.22052234807133,2011-02-01
"26","NEWS","Yemen","Nationalities",0.92975535757983,0.333768761616881,0.240484686829556,2011-02-01
"27","NEWS","Bahrain","Protest",0.837603263685148,0.364158474971247,0.877520301812433,2011-02-01
"28","NEWS","Egypt","Protest",0.837603263685148,0.246158257629231,0.200315395725874,2011-02-01
"29","NEWS","Iran","Protest",0.837603263685148,0.153158055523094,-0.280857213789718,2011-02-01
"30","NEWS","Iraq","Protest",0.837603263685148,0.189848977879095,-0.624332990668454,2011-02-01
"31","NEWS","Jordan","Protest",0.837603263685148,0.209382519133287,-0.0469654784996359,2011-02-01
